epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.80561,0.73492,0.7377,1,0.50746,3.334e-05,3.334e-05,3.334e-05
2,3.74643,0.80026,0.61475,1,0.63922,8.16997e-05,8.16997e-05,8.16997e-05
3,5.79714,0.69259,0.36066,1,0.87158,0.000128079,0.000128079,0.000128079
4,7.83991,0.62165,0.22131,1,1.09682,0.000172478,0.000172478,0.000172478
5,9.83975,0.59082,0.15574,1,1.29008,0.000214896,0.000214896,0.000214896
6,11.8836,0.65765,0.13115,1,1.45997,0.000255334,0.000255334,0.000255334
7,13.8842,0.59314,0.13115,1,1.50192,0.000293792,0.000293792,0.000293792
8,15.8672,0.5714,0.14754,1,1.41512,0.000330269,0.000330269,0.000330269
9,17.9676,0.58801,0.20492,1,1.30475,0.000364766,0.000364766,0.000364766
10,19.867,0.556,0.32787,1,1.1039,0.000397283,0.000397283,0.000397283
11,21.8175,0.50874,0.41803,1,0.93282,0.000427819,0.000427819,0.000427819
12,23.8494,0.47182,0.54918,1,0.77021,0.000456375,0.000456375,0.000456375
13,25.7933,0.46724,0.56557,1,0.7561,0.00048295,0.00048295,0.00048295
14,27.772,0.42161,0.53279,1,0.83332,0.000507545,0.000507545,0.000507545
15,29.8293,0.40675,0.56557,1,0.84025,0.000530159,0.000530159,0.000530159
16,31.8061,0.33205,0.54098,1,0.98747,0.000550793,0.000550793,0.000550793
17,33.8512,0.32998,0.51639,1,1.06261,0.000569447,0.000569447,0.000569447
18,35.938,0.36835,0.55738,1,1.00594,0.000586121,0.000586121,0.000586121
19,37.798,0.40047,0.56557,1,1.00056,0.000600813,0.000600813,0.000600813
20,39.8135,0.33258,0.59016,1,1.07184,0.000613526,0.000613526,0.000613526
21,41.8096,0.22366,0.58197,1,1.14132,0.000624258,0.000624258,0.000624258
22,43.8714,0.32712,0.52459,1,1.32206,0.00063301,0.00063301,0.00063301
23,45.7342,0.25632,0.5082,1,1.39661,0.000639781,0.000639781,0.000639781
24,47.7837,0.25743,0.53279,1,1.40154,0.000644572,0.000644572,0.000644572
25,49.7921,0.22519,0.55738,1,1.37603,0.000647383,0.000647383,0.000647383
26,51.7946,0.22227,0.61475,1,1.19395,0.000648213,0.000648213,0.000648213
27,53.927,0.1801,0.61475,1,1.12441,0.000647063,0.000647063,0.000647063
28,55.8798,0.17057,0.61475,1,1.16088,0.000643932,0.000643932,0.000643932
29,57.7887,0.13234,0.64754,1,1.14043,0.000638821,0.000638821,0.000638821
30,59.4642,0.2287,0.65574,1,1.11853,0.00063173,0.00063173,0.00063173
31,61.3189,0.15099,0.67213,1,1.11524,0.000622658,0.000622658,0.000622658
32,63.2309,0.25869,0.66393,1,1.04292,0.000611606,0.000611606,0.000611606
33,64.9904,0.1495,0.66393,1,1.00957,0.000598573,0.000598573,0.000598573
34,66.8575,0.09876,0.63115,1,1.27479,0.000577782,0.000577782,0.000577782
35,68.6414,0.12708,0.62295,1,1.3491,0.000544776,0.000544776,0.000544776
36,70.4536,0.14147,0.58197,1,1.51803,0.000511769,0.000511769,0.000511769
37,72.3435,0.12613,0.58197,1,1.54764,0.000478762,0.000478762,0.000478762
38,74.1047,0.17648,0.55738,1,1.76329,0.000445756,0.000445756,0.000445756
39,75.9763,0.08032,0.54918,1,1.8266,0.000412749,0.000412749,0.000412749
40,78.0072,0.09833,0.5082,1,2.06854,0.000379743,0.000379743,0.000379743
41,79.9982,0.1591,0.52459,1,2.05344,0.000346736,0.000346736,0.000346736
42,82.1354,0.10033,0.52459,1,2.03243,0.000313729,0.000313729,0.000313729
43,84.1655,0.12247,0.52459,1,2.11072,0.000280723,0.000280723,0.000280723
44,86.0402,0.14273,0.52459,1,2.08354,0.000247716,0.000247716,0.000247716
45,87.9293,0.13715,0.53279,1,2.07965,0.00021471,0.00021471,0.00021471
46,89.908,0.06135,0.51639,1,2.14871,0.000181703,0.000181703,0.000181703
47,91.9774,0.14584,0.5,1,2.16909,0.000148696,0.000148696,0.000148696
48,93.9201,0.07378,0.52459,1,2.0478,0.00011569,0.00011569,0.00011569
49,95.8829,0.18197,0.52459,1,2.1134,8.26832e-05,8.26832e-05,8.26832e-05
50,97.8331,0.1,0.56557,1,2.00384,4.96766e-05,4.96766e-05,4.96766e-05
